case_id,pair,method,initial_x_m,initial_y_m,initial_z_m,initial_vx_mps,initial_vy_mps,initial_vz_mps,burn_time_s,propellant_kg,final_x_m,final_y_m,final_z_m,final_vx_mps,final_vy_mps,final_vz_mps,final_speed_mps,position_error_m,max_thrust_N,runtime_s,success
12,T,Optimizer-T,-349.1577053464625,427.1812242566401,685.5038685753559,43.21991891811075,-52.87793336077476,-82.81398732706121,15.946560573618683,914.6793576461496,1.042241848381309e-10,-1.273936511836382e-10,-5.767120114796853e-10,-2.220446049250313e-15,7.993605777301127e-15,7.993605777301127e-14,8.036542444528448e-14,5.997404165570435e-10,180000.0,2.5180381999816746,True
12,A,ESPDI-A,279.1749035927778,292.98512093010106,1406.514258244606,40.93324380455802,-17.99370620103667,-55.496269943596225,26.68912266212569,1268.380825577582,1.3642420526593924e-12,5.115907697472721e-13,3.979039320256561e-13,5.684341886080802e-14,3.552713678800501e-14,7.105427357601002e-15,6.740800259667266e-14,1.5103671848449293e-12,179999.99999998385,3.85000850004144,True
12,A,Optimizer-A,279.1749035927778,292.98512093010106,1406.514258244606,40.93324380455802,-17.99370620103667,-55.496269943596225,24.34161995085086,1208.1386872013445,-8.205082091929532e-08,6.156296486380316e-09,1.686406783107941e-07,-1.1592327098242095e-10,-4.410249943020972e-12,-1.4209433629730484e-10,1.8343515330381817e-10,1.8764305364463462e-07,180000.0000031116,22.760866799973883,True
13,T,ESPDI-T,427.01353002564605,-23.70338683103374,738.649591584255,-52.18990980798979,2.897045488889418,-88.18581351774516,16.147678079720823,926.215264115488,-1.590809406946947e-11,8.414941988122045e-13,-7.120520904672911e-11,-1.3083423233695157e-12,7.056421419404657e-14,-6.018879838975977e-12,6.159841999554554e-12,7.296545322821012e-11,180000.0,0.6325865999097005,True
13,T,Optimizer-T,427.01353002564605,-23.70338683103374,738.649591584255,-52.18990980798979,2.897045488889418,-88.18581351774516,16.147678079720823,926.2152641159773,-7.190825712655169e-11,3.975181295245989e-12,-3.388418434724372e-10,1.8474111129762605e-13,-1.1102230246251565e-14,9.023892744153272e-13,9.211725898547694e-13,3.4641073077649883e-10,179999.99999999997,2.5971767000155523,True
13,A,ESPDI-A,-350.7935280765355,309.53249776873895,1190.7772011528928,36.58947753527136,3.209914909151088,-87.26037508316986,21.3392778655205,1123.1664591581848,-1.7053025658242404e-13,1.1368683772161603e-13,-1.9042545318370685e-12,-4.973799150320701e-14,8.526512829121202e-14,-2.6290081223123707e-13,2.808217352220695e-13,1.915252095026454e-12,180000.0033414742,3.8639327000128105,True
13,A,Optimizer-A,-350.7935280765355,309.53249776873895,1190.7772011528928,36.58947753527136,3.209914909151088,-87.26037508316986,20.607500615170782,1098.7389721436994,3.735016013340425e-08,1.9075082888958235e-07,-1.4844977513917001e-07,-8.181499921988689e-11,-3.9240966032139113e-10,4.1510972437208693e-10,5.770572925448301e-10,2.445776950642143e-07,180000.00001481661,14.539451699936762,True
14,T,ESPDI-T,-7.007641502587065,86.90117881714248,694.5803403431962,0.9054473928134783,-11.228377730703116,-87.87344119993612,15.285579382671676,876.7661130710549,1.5651254782556912e-13,-1.8536447740245474e-12,-3.911457540240609e-11,7.987642665352457e-15,-9.631184738623233e-14,-2.1578155928736464e-12,2.1599786821241882e-12,3.915878578347913e-11,180000.0,0.778831799980253,True
14,T,Optimizer-T,-7.007641502587065,86.90117881714248,694.5803403431962,0.9054473928134783,-11.228377730703116,-87.87344119993612,15.285579382671676,876.7661130715278,2.0382723286971327e-12,-2.533873111332241e-11,-5.351683540766317e-10,-2.0775048348298242e-14,2.531308496145357e-13,5.474731779031572e-12,5.4806199359195354e-12,5.357717546246818e-10,180000.0,8.78715650003869,True
14,A,ESPDI-A,182.96718530004227,202.3552915190288,726.0903403655861,-31.306189997890826,-34.18230367180365,-84.09338424254139,15.922790881287536,904.1492588337496,-9.947598300641403e-14,2.8421709430404007e-13,5.329070518200751e-13,-1.7763568394002505e-14,6.217248937900877e-14,1.0302869668521453e-13,1.216382963475126e-13,6.120986470899019e-13,179999.99999999115,3.8193507000105456,True
14,A,Optimizer-A,182.96718530004227,202.3552915190288,726.0903403655861,-31.306189997890826,-34.18230367180365,-84.09338424254139,15.858354619753726,902.1599396819693,3.456616316114204e-08,3.700000511173644e-08,1.467964025891888e-07,-1.5887779980516825e-10,-1.709992147880257e-10,-6.435456612052803e-10,6.845684076739109e-10,1.5528362382131098e-07,180000.00000540534,9.144883600063622,True
15,T,ESPDI-T,301.9334926918048,-257.3351195449468,455.1160824919883,-45.097401258054575,38.43609743472126,-66.57590589346735,13.245896880144716,759.7718889811968,-5.774547615251813e-12,4.723997777157651e-12,-2.4746042671594526e-11,-1.5159123956109966e-12,1.2762846335334643e-12,-6.589798151601656e-12,6.881303113205617e-12,2.584624117862746e-11,180000.0,0.4062149999663234,True
15,T,Optimizer-T,301.9334926918048,-257.3351195449468,455.1160824919883,-45.097401258054575,38.43609743472126,-66.57590589346735,13.245896880144716,759.7718889816097,-1.9765433734164617e-10,1.6861867457862445e-10,-8.62076632301978e-10,3.1885605267234496e-13,-2.615685446016869e-13,1.3500311979441904e-12,1.4116201759940454e-12,9.003752631251799e-10,179999.99999999997,29.327709899982437,True
15,A,ESPDI-A,-488.87914816497704,-432.69380833302625,1655.085679845101,-1.1742339974759943,-19.749468422822513,-62.83874190895117,27.284519254051688,1319.5038482050531,-1.1368683772161603e-12,6.821210263296962e-13,3.410605131648481e-13,5.684341886080802e-14,5.684341886080802e-14,-2.842170943040401e-14,8.526512829121202e-14,1.368970808788651e-12,180000.0277341997,4.1783525000792,True
15,A,Optimizer-A,-488.87914816497704,-432.69380833302625,1655.085679845101,-1.1742339974759943,-19.749468422822513,-62.83874190895117,26.308299273806732,1283.1151211259148,6.747875188950687e-08,9.802158251456654e-08,1.5526722307868113e-07,1.4335199693960021e-12,1.4619416788264061e-12,-1.2004619520666893e-11,1.2177977780030783e-11,1.9562597771714916e-07,180000.00000000064,25.3095535999164,True
16,T,ESPDI-T,-205.14401672991733,290.8200875587673,661.2136474897331,26.519020800497827,-37.594388927887394,-83.60475090351535,15.278378869953006,876.3530985957495,-5.1610713671653785e-12,7.0827804172612484e-12,4.087756519453693e-11,5.36356549452055e-13,-7.628845472007484e-13,-4.976543482859697e-12,5.063166619546618e-12,4.180643218847706e-11,180000.0,0.46511150000151247,True
16,T,Optimizer-T,-205.14401672991733,290.8200875587673,661.2136474897331,26.519020800497827,-37.594388927887394,-83.60475090351535,15.278378869953006,876.3530985962134,-3.645084234449314e-12,5.189182417097982e-12,3.221778399620234e-11,-3.552713678800501e-15,7.993605777301127e-15,3.730349362740526e-14,3.831540349019312e-14,3.283595375286215e-11,180000.0,31.318952100002207,True
16,A,ESPDI-A,310.0641112780793,-83.98718598134201,1429.4245173742906,2.8787350743024547,-37.11605651011981,-61.42591696928399,25.28819913179278,1218.8553086727188,2.2737367544323206e-13,6.821210263296962e-13,-1.1368683772161603e-13,5.684341886080802e-14,0.0,4.263256414560601e-14,7.105427357601002e-14,7.279509460923746e-13,180000.01553419526,3.7522028000093997,True
